VendorID,pickup,dropoff,passenger_count,trip_distance,fare_amount,tip_amount
id8,2022-01-02T17:50:36.000000,2022-01-02T18:14:14.000000,1.0,3.78,17.5,4.16
id4,2022-01-02T18:48:06.000000,2022-01-02T19:08:11.000000,2.0,2.83,14.5,3.56
id4,2022-01-02T20:08:49.000000,2022-01-02T20:17:45.000000,2.0,3.36,12.0,0.0
id3,2022-01-02T20:52:14.000000,2022-01-02T21:25:01.000000,1.0,21.78,57.5,10.0
id7,2022-01-02T20:54:43.000000,2022-01-02T21:35:11.000000,1.0,18.35,53.5,0.0
id5,2022-01-02T20:56:41.000000,2022-01-02T21:02:43.000000,4.0,0.83,6.0,0.0
id6,2022-01-02T21:00:59.000000,2022-01-02T21:11:46.000000,1.0,3.33,11.5,0.0
id4,2022-01-02T21:21:41.000000,2022-01-02T21:30:09.000000,1.0,1.51,8.0,3.0
id8,2022-01-02T21:23:30.000000,2022-01-02T21:48:57.000000,1.0,17.66,52.0,0.0
id1,2022-01-02T21:25:40.000000,2022-01-02T21:28:26.000000,1.0,1.11,5.0,0.7
id4,2022-01-02T21:29:55.000000,2022-01-02T21:31:27.000000,2.0,0.45,3.5,0.0
id8,2022-01-02T21:36:58.000000,2022-01-02T22:10:03.000000,1.0,17.14,48.0,12.64
id6,2022-01-02T21:51:23.000000,2022-01-02T22:06:12.000000,1.0,3.38,13.5,0.0
id4,2022-01-02T22:04:57.000000,2022-01-02T22:24:56.000000,6.0,4.91,18.0,2.2
id6,2022-01-02T22:07:38.000000,2022-01-02T22:34:39.000000,2.0,17.88,52.0,12.37
id6,2022-01-02T22:25:11.000000,2022-01-02T22:48:26.000000,2.0,11.01,32.0,6.66
id3,2022-01-02T22:37:01.000000,2022-01-02T22:49:23.000000,1.0,2.54,11.0,5.0
id6,2022-01-02T22:44:13.000000,2022-01-02T22:58:02.000000,1.0,8.07,23.5,6.77
id5,2022-01-02T23:59:47.000000,2022-01-03T00:21:48.000000,1.0,13.81,38.0,4.96
id6,2022-01-03T02:11:17.000000,2022-01-03T02:14:59.000000,1.0,1.12,5.5,1.86
id3,2022-01-03T05:54:12.000000,2022-01-03T06:26:54.000000,2.0,24.75,76.5,0.0
id5,2022-01-03T06:24:58.000000,2022-01-03T06:29:29.000000,1.0,0.88,5.5,1.76
id0,2022-01-03T06:43:14.000000,2022-01-03T07:28:18.000000,1.0,20.27,52.0,12.37
id8,2022-01-03T06:43:51.000000,2022-01-03T06:50:46.000000,1.0,2.25,8.5,1.0
id3,2022-01-03T07:07:44.000000,2022-01-03T07:30:19.000000,1.0,4.69,18.5,0.0
id0,2022-01-03T07:09:08.000000,2022-01-03T07:15:04.000000,1.0,1.22,6.0,2.33
id1,2022-01-03T07:23:30.000000,2022-01-03T07:28:42.000000,1.0,1.24,6.0,2.32
id7,2022-01-03T07:26:53.000000,2022-01-03T07:56:19.000000,2.0,9.1,30.0,0.0
id4,2022-01-03T07:47:58.000000,2022-01-03T07:58:19.000000,1.0,2.5,10.0,0.0
id6,2022-01-03T07:50:43.000000,2022-01-03T07:54:48.000000,1.0,0.9,5.5,1.25
id3,2022-01-03T07:59:25.000000,2022-01-03T08:17:00.000000,0.0,3.4,14.0,2.0
id5,2022-01-03T08:08:47.000000,2022-01-03T08:14:30.000000,2.0,0.86,6.0,2.32
id1,2022-01-03T08:08:52.000000,2022-01-03T08:26:31.000000,1.0,2.95,13.0,0.0
id5,2022-01-03T08:12:07.000000,2022-01-03T08:15:24.000000,1.0,0.82,4.5,1.56
id2,2022-01-03T08:16:15.000000,2022-01-03T08:22:14.000000,1.0,1.43,6.5,2.45
id7,2022-01-03T08:19:47.000000,2022-01-03T08:41:38.000000,1.0,4.43,17.0,4.06
id3,2022-01-03T08:41:51.000000,2022-01-03T08:54:11.000000,0.0,1.8,10.0,0.0
id7,2022-01-03T08:52:03.000000,2022-01-03T09:36:28.000000,1.0,0.0,61.2,0.0
id7,2022-01-03T09:31:49.000000,2022-01-03T09:36:49.000000,1.0,0.9,5.5,2.0
id8,2022-01-03T09:57:19.000000,2022-01-03T10:02:10.000000,5.0,1.05,5.5,1.76
id3,2022-01-03T10:32:46.000000,2022-01-03T10:44:46.000000,1.0,2.4,10.5,0.0
id4,2022-01-03T10:38:29.000000,2022-01-03T10:43:06.000000,1.0,0.59,5.0,1.66
id5,2022-01-03T10:39:42.000000,2022-01-03T10:39:48.000000,1.0,0.0,170.0,10.0
id4,2022-01-03T10:43:55.000000,2022-01-03T10:46:03.000000,1.0,0.7,4.0,0.5
id3,2022-01-03T11:23:46.000000,2022-01-03T11:33:26.000000,1.0,2.4,9.5,3.2
id3,2022-01-03T12:24:47.000000,2022-01-03T12:31:53.000000,1.0,1.5,7.5,2.16
id7,2022-01-03T12:31:26.000000,2022-01-03T12:51:10.000000,1.0,4.8,18.5,0.0
id0,2022-01-03T12:41:08.000000,2022-01-03T12:50:41.000000,1.0,1.7,8.5,2.12
id8,2022-01-03T12:53:33.000000,2022-01-03T13:24:07.000000,1.0,9.63,32.0,5.0
id1,2022-01-03T13:05:45.000000,2022-01-03T13:18:43.000000,2.0,1.57,9.5,2.56
id8,2022-01-03T13:09:42.000000,2022-01-03T13:13:43.000000,1.0,0.49,4.5,1.56
id4,2022-01-03T13:14:10.000000,2022-01-03T13:18:58.000000,1.0,0.7,5.0,2.05
id2,2022-01-03T13:24:15.000000,2022-01-03T13:34:24.000000,1.0,2.1,9.5,1.2
id5,2022-01-03T13:25:27.000000,2022-01-03T13:45:47.000000,2.0,5.55,20.0,3.5
id7,2022-01-03T13:33:53.000000,2022-01-03T13:46:06.000000,1.0,1.9,9.5,2.5
id0,2022-01-03T13:50:07.000000,2022-01-03T13:53:17.000000,1.0,0.64,4.5,1.56
id2,2022-01-03T14:02:11.000000,2022-01-03T14:12:23.000000,1.0,2.06,9.0,2.46
id6,2022-01-03T14:26:32.000000,2022-01-03T14:27:47.000000,1.0,0.38,3.0,1.58
id6,2022-01-03T14:27:28.000000,2022-01-03T14:45:04.000000,1.0,3.9,15.5,4.7
id2,2022-01-03T14:30:03.000000,2022-01-03T14:37:23.000000,1.0,1.12,6.5,1.2
id8,2022-01-03T14:38:17.000000,2022-01-03T14:46:21.000000,2.0,2.11,8.5,2.36
id3,2022-01-03T14:40:28.000000,2022-01-03T14:45:31.000000,1.0,0.63,5.0,0.0
id5,2022-01-03T14:42:38.000000,2022-01-03T14:56:24.000000,2.0,2.2,11.0,0.0
id8,2022-01-03T14:51:12.000000,2022-01-03T15:20:30.000000,1.0,6.68,24.0,6.82
id2,2022-01-03T14:58:00.000000,2022-01-03T15:20:45.000000,4.0,3.9,16.5,0.0
id3,2022-01-03T15:00:41.000000,2022-01-03T15:07:06.000000,2.0,1.3,7.0,1.0
id1,2022-01-03T15:10:39.000000,2022-01-03T15:22:36.000000,1.0,2.0,10.0,0.0
id8,2022-01-03T15:13:06.000000,2022-01-03T15:21:59.000000,1.0,1.44,7.5,2.16
id0,2022-01-03T15:18:17.000000,2022-01-03T15:29:09.000000,1.0,2.3,10.0,3.3
id6,2022-01-03T15:23:08.000000,2022-01-03T15:45:14.000000,1.0,4.52,19.0,3.96
id1,2022-01-03T15:28:47.000000,2022-01-03T15:39:05.000000,6.0,1.16,8.0,1.0
id0,2022-01-03T15:45:45.000000,2022-01-03T15:50:17.000000,2.0,1.01,5.5,0.0
id4,2022-01-03T15:51:10.000000,2022-01-03T15:54:54.000000,1.0,0.49,4.5,0.0
id4,2022-01-03T16:01:31.000000,2022-01-03T16:16:59.000000,2.0,2.8,12.5,3.15
id2,2022-01-03T16:06:33.000000,2022-01-03T16:13:39.000000,1.0,0.99,6.0,0.0
id1,2022-01-03T16:36:14.000000,2022-01-03T16:57:28.000000,1.0,2.77,15.0,3.86
id6,2022-01-03T16:51:45.000000,2022-01-03T16:57:54.000000,1.0,0.93,6.0,3.09
id5,2022-01-03T16:54:29.000000,2022-01-03T16:58:23.000000,2.0,0.5,4.5,0.0
id7,2022-01-03T16:57:24.000000,2022-01-03T17:19:00.000000,1.0,10.8,31.5,0.0
id7,2022-01-03T16:59:26.000000,2022-01-03T17:09:49.000000,1.0,1.5,8.5,0.0
id5,2022-01-03T17:01:55.000000,2022-01-03T17:10:36.000000,1.0,1.9,8.5,2.35
id8,2022-01-03T17:08:04.000000,2022-01-03T17:19:02.000000,2.0,2.58,10.5,2.96
id5,2022-01-03T17:11:50.000000,2022-01-03T17:15:38.000000,1.0,0.94,5.0,2.79
id5,2022-01-03T17:16:13.000000,2022-01-03T17:22:39.000000,1.0,0.86,6.0,2.06
id6,2022-01-03T17:28:36.000000,2022-01-03T18:00:40.000000,2.0,18.19,90.0,22.58
id2,2022-01-03T17:51:16.000000,2022-01-03T17:59:17.000000,1.0,1.63,7.5,2.36
id5,2022-01-03T17:51:40.000000,2022-01-03T18:09:23.000000,1.0,3.62,15.0,0.0
id3,2022-01-03T18:13:44.000000,2022-01-03T18:17:04.000000,2.0,0.8,4.5,1.75
id6,2022-01-03T18:23:56.000000,2022-01-03T18:29:56.000000,1.0,0.73,5.5,1.96
id5,2022-01-03T18:34:46.000000,2022-01-03T18:52:37.000000,1.0,3.2,14.0,0.0
id8,2022-01-03T18:47:15.000000,2022-01-03T18:52:59.000000,6.0,0.73,-5.5,0.0
id3,2022-01-03T19:14:28.000000,2022-01-03T19:34:49.000000,1.0,14.29,39.0,0.0
id7,2022-01-03T19:21:12.000000,2022-01-03T19:27:51.000000,2.0,2.34,8.0,2.0
id5,2022-01-03T19:26:44.000000,2022-01-03T19:48:35.000000,2.0,9.45,28.5,5.0
id6,2022-01-03T19:52:43.000000,2022-01-03T20:02:17.000000,2.0,3.35,-9.0,0.0
id8,2022-01-03T20:05:51.000000,2022-01-03T20:37:56.000000,1.0,19.5,52.0,11.3
id3,2022-01-03T20:49:49.000000,2022-01-03T20:57:07.000000,1.0,1.2,7.0,2.15
id2,2022-01-03T20:55:20.000000,2022-01-03T21:00:32.000000,1.0,0.8,5.5,1.0
id4,2022-01-03T20:57:41.000000,2022-01-03T21:01:12.000000,1.0,0.65,4.5,0.0
id2,2022-01-03T21:04:10.000000,2022-01-03T21:10:19.000000,1.0,1.28,6.5,0.0
id7,2022-01-03T21:23:13.000000,2022-01-03T21:31:07.000000,1.0,1.82,8.0,0.0
id0,2022-01-03T21:27:19.000000,2022-01-03T21:41:23.000000,1.0,3.15,12.5,3.26
id0,2022-01-03T23:21:27.000000,2022-01-03T23:30:35.000000,2.0,4.8,14.5,7.0
id2,2022-01-03T23:42:08.000000,2022-01-03T23:52:08.000000,1.0,2.2,10.0,2.76
id8,2022-01-03T23:49:52.000000,2022-01-03T23:57:42.000000,1.0,2.87,10.0,2.07
id5,2022-01-04T02:49:46.000000,2022-01-04T02:59:36.000000,1.0,6.76,19.5,0.0
id2,2022-01-04T03:20:48.000000,2022-01-05T02:31:45.000000,6.0,1.01,5.5,0.0
id1,2022-01-04T04:38:01.000000,2022-01-04T04:50:01.000000,1.0,2.56,11.0,0.0
id6,2022-01-04T06:46:54.000000,2022-01-04T06:52:41.000000,1.0,1.9,7.5,1.3
id0,2022-01-04T07:26:04.000000,2022-01-04T07:33:35.000000,2.0,2.08,8.5,0.0
id6,2022-01-04T07:36:29.000000,2022-01-04T07:43:13.000000,2.0,1.0,6.0,0.0
id7,2022-01-04T07:37:56.000000,2022-01-04T07:42:40.000000,1.0,0.83,5.5,1.76
id4,2022-01-04T08:15:23.000000,2022-01-04T08:19:21.000000,0.0,0.5,4.5,0.0
id1,2022-01-04T08:26:22.000000,2022-01-04T08:43:10.000000,1.0,5.55,18.0,5.33
id6,2022-01-04T08:33:52.000000,2022-01-04T08:48:10.000000,1.0,1.7,9.5,2.55
id4,2022-01-04T08:39:04.000000,2022-01-04T08:44:35.000000,0.0,0.7,5.5,0.0
id6,2022-01-04T08:41:25.000000,2022-01-04T08:44:21.000000,3.0,0.45,4.0,2.19
id7,2022-01-04T08:48:48.000000,2022-01-04T08:51:45.000000,1.0,0.97,5.0,1.0
id1,2022-01-04T08:52:43.000000,2022-01-04T08:58:02.000000,1.0,1.24,6.0,0.0
id8,2022-01-04T09:31:27.000000,2022-01-04T09:38:13.000000,1.0,0.79,6.0,1.0
id8,2022-01-04T09:43:30.000000,2022-01-04T09:58:43.000000,1.0,1.84,10.5,3.0
id4,2022-01-04T10:03:47.000000,2022-01-04T10:12:48.000000,2.0,2.0,9.0,0.0
id0,2022-01-04T10:08:41.000000,2022-01-04T10:13:59.000000,1.0,0.89,5.5,0.0
id5,2022-01-04T11:21:32.000000,2022-01-04T11:27:53.000000,1.0,1.31,6.5,1.96
id0,2022-01-04T11:36:41.000000,2022-01-04T11:41:12.000000,1.0,0.66,5.0,1.66
id8,2022-01-04T11:39:24.000000,2022-01-04T11:55:12.000000,0.0,3.1,13.0,3.25
id5,2022-01-04T11:40:04.000000,2022-01-04T11:57:05.000000,2.0,3.1,14.0,3.46
id0,2022-01-04T12:21:47.000000,2022-01-04T12:46:33.000000,1.0,6.0,22.0,5.05
id7,2022-01-04T12:37:19.000000,2022-01-04T12:44:17.000000,1.0,1.22,7.0,2.06
id8,2022-01-04T12:42:39.000000,2022-01-04T12:56:33.000000,1.0,1.23,9.5,2.56
id5,2022-01-04T12:42:54.000000,2022-01-04T12:53:54.000000,1.0,1.7,9.5,2.56
id1,2022-01-04T12:49:03.000000,2022-01-04T12:53:54.000000,1.0,0.6,5.0,1.65
id1,2022-01-04T13:04:40.000000,2022-01-04T13:25:07.000000,1.0,3.2,15.0,0.0
id0,2022-01-04T13:09:03.000000,2022-01-04T13:14:46.000000,2.0,1.24,6.5,0.0
id5,2022-01-04T13:30:43.000000,2022-01-04T13:33:46.000000,1.0,0.39,4.0,0.0
id1,2022-01-04T13:40:25.000000,2022-01-04T13:47:09.000000,1.0,1.36,6.5,1.96
id7,2022-01-04T13:42:28.000000,2022-01-04T14:00:25.000000,1.0,6.4,20.5,0.0
id2,2022-01-04T13:44:16.000000,2022-01-04T13:47:16.000000,5.0,0.42,4.0,0.0
id5,2022-01-04T13:58:16.000000,2022-01-04T14:18:12.000000,3.0,5.2,19.0,0.0
id5,2022-01-04T14:09:07.000000,2022-01-04T14:53:25.000000,1.0,19.67,52.0,12.62
id4,2022-01-04T14:10:41.000000,2022-01-04T14:21:54.000000,1.0,1.63,9.0,2.46
id3,2022-01-04T14:18:46.000000,2022-01-04T14:23:08.000000,2.0,0.59,4.5,1.56
id4,2022-01-04T14:27:23.000000,2022-01-04T14:51:07.000000,1.0,3.55,17.0,5.08
id8,2022-01-04T14:39:23.000000,2022-01-04T14:55:21.000000,1.0,5.0,18.0,4.25
id6,2022-01-04T14:41:09.000000,2022-01-04T14:44:36.000000,1.0,0.8,4.5,1.55
id5,2022-01-04T14:46:22.000000,2022-01-04T14:53:14.000000,1.0,1.01,6.5,1.96
id3,2022-01-04T14:52:51.000000,2022-01-04T15:08:29.000000,1.0,2.3,12.0,3.05
id1,2022-01-04T15:00:55.000000,2022-01-04T15:03:08.000000,1.0,0.5,4.0,1.0
id0,2022-01-04T15:05:09.000000,2022-01-04T15:17:16.000000,3.0,1.29,9.5,2.56
id5,2022-01-04T15:25:52.000000,2022-01-04T16:06:43.000000,6.0,7.59,30.0,6.66
id4,2022-01-04T15:38:49.000000,2022-01-04T15:43:00.000000,1.0,0.7,5.0,0.0
id2,2022-01-04T15:52:57.000000,2022-01-04T16:32:03.000000,1.0,6.74,28.5,0.0
id6,2022-01-04T16:15:22.000000,2022-01-04T16:15:39.000000,1.0,0.15,2.5,0.0
id6,2022-01-04T16:26:49.000000,2022-01-04T16:38:51.000000,3.0,2.52,10.5,2.96
id0,2022-01-04T16:31:53.000000,2022-01-04T16:37:42.000000,1.0,0.72,5.5,1.96
id4,2022-01-04T16:37:10.000000,2022-01-04T16:39:59.000000,1.0,0.3,4.0,0.0
id3,2022-01-04T16:43:26.000000,2022-01-04T16:49:23.000000,1.0,1.27,6.5,2.7
id5,2022-01-04T17:05:32.000000,2022-01-04T17:19:21.000000,1.0,3.05,12.5,4.2
id6,2022-01-04T17:11:23.000000,2022-01-04T17:24:31.000000,1.0,1.5,9.5,2.5
id1,2022-01-04T17:31:23.000000,2022-01-04T17:45:24.000000,1.0,2.44,11.0,3.06
